FEN,Moves
2rqkb1r/4pppp/pp6/3Nnb2/3P4/4P3/PP3PPP/R1BQK2R w KQk - 0 12,"[None, 'd4e5', 'b6b5']"
2rqkb1r/5ppp/p3p3/1p1NPb2/Q7/4P3/PP3PPP/R1B1K2R w KQk - 0 14,"[None, 'a4a6', 'e6d5', 'a6b5', 'd8d7', 'b5d7']"
2rqkb1r/5ppp/Q7/1p1pPb2/8/4P3/PP3PPP/R1B1K2R w KQk - 0 15,"[None, 'a6b5', 'd8d7', 'b5d7']"
2rqk2r/4bppp/Q7/1p1pPb2/8/4P3/PP3PPP/R1B2RK1 w k - 2 16,"[None, 'a6b5', 'd8d7', 'b5d7']"
2rqk2r/5ppp/Q7/1p1pPb2/1b6/4P3/P4PPP/R1B2RK1 w k - 0 17,"[None, 'a6b5', 'd8d7', 'b5b4', 'c8c4']"
2rqk2r/3b1ppp/8/1Q1pP3/1b6/4P3/P4PPP/R1B2RK1 w k - 1 18,"[None, 'b5b4', 'c8c4']"
r2q2k1/P3r2p/2b1Pp2/3p2p1/3Q4/4P3/1B3PPP/R4RK1 w - - 0 28,"[None, 'd4f6', 'd5d4', 'b2d4', 'd8d4', 'e3d4', 'e7c7']"
r2q2k1/P3r2p/2b1PQ2/3p2p1/8/4P3/1B3PPP/R4RK1 b - - 0 28,"[None, 'd5d4', 'b2d4', 'd8d4', 'e3d4']"
3q2k1/r3r2p/2b1PQ2/3p2p1/8/4P3/1B3PPP/R4RK1 w - - 0 29,"[None, 'f6h8']"
r1bq1rk1/pppnpp2/3p1npb/8/2PPP3/2N2N2/PP1Q1PPP/R3KB1R w KQ - 0 9,"[None, 'd2h6', 'e7e5']"
r1bq1rk1/pp1n1p2/2pp1npQ/3N2N1/2PpP3/8/PP3PPP/R3KB1R w KQ - 0 12,"[None, 'd5f6']"
r3r1k1/pp3p2/3p1npQ/2p1P1N1/2Pp1Pb1/3q4/PP4PP/1K2R2R w - - 0 19,"[None, 'b1a1', 'd6e5', 'f4e5', 'd3f5', 'h2h3', 'g4e2', 'e5f6', 'f5f6', 'h6h7', 'g8f8', 'h7h4', 'f8g7', 'h4h7', 'g7f8']"
r3r1k1/pp1n1p2/6pQ/2p1P1N1/2Pp2b1/3q4/PP4PP/K3R2R w - - 1 21,"[None, 'h6h7', 'g8f8', 'h7f7']"
r1b2rk1/p4ppp/2p1qn2/2P1p1B1/1P1pP3/5N2/P1P2PPP/R2QK2R w KQ - 1 12,"[None, 'g5f6']"
r1b2rk1/5ppp/2p1q3/2P1p1B1/1p1p4/P1nQ1N2/2P2PPP/R3R1K1 w - - 0 16,"[None, 'e1e5', 'c8a6', 'e5e6', 'a6d3', 'e6c6', 'd3c2', 'f3d4', 'b4b3', 'd4c2']"
r4rk1/5ppp/b1p1q3/2P1N1B1/1p1p4/P1nQ4/2P2PPP/R3R1K1 w - - 1 17,"[None, 'd3d4', 'c3e2', 'e1e2']"
3r1rk1/6pp/2p2p2/2Pn1q2/Q7/P2b4/2PB1PPP/R3R1K1 w - - 0 22,"[None, 'c2d3']"
rn2kb1r/1p1qpp1p/p1p1bnp1/6N1/PPpP4/2N1P3/5PPP/R1BQKB1R w KQkq - 0 9,"[None, 'g5e6']"
rn3rk1/1p2ppbp/2p1q1p1/1p6/P1pPn3/2N5/4BPPP/R1BQ1RK1 w - - 0 16,"[None, 'c3e4']"
1n3rk1/1p2ppbp/2p3p1/1p6/r1pPq3/4B3/4BPPP/R2Q1RK1 w - - 0 18,"[None, 'a1a4']"
1n3rk1/1pq1pp1p/6p1/2p5/2Qb4/4BB2/5PPP/4R1K1 w - - 4 23,"[None, 'e3d4', 'f8d8']"
5rk1/1p2pp1p/n5p1/2p5/2Q5/q1B2B1P/5PP1/R5K1 b - - 2 26,"[None, 'a3a1', 'c3a1']"
r2qkb1r/pp3ppp/2n1pn2/3pN3/3P4/2N4P/PPP1bPP1/R1BQ1RK1 w kq - 0 10,"[None, 'c3e2', 'f8d6']"
r2qk2r/pp3ppp/4pn2/1nbpN3/8/3Q3P/PPP2PP1/R1B2RK1 w kq - 0 13,"[None, 'd3b5', 'f6d7', 'e5d7', 'd8d7', 'b5c5', 'a8c8']"
r2qk2r/pp1n1ppp/4p3/1QbpN3/8/7P/PPP2PP1/R1B2RK1 w kq - 1 14,"[None, 'e5d7', 'd8d7', 'b5c5', 'a8c8']"
r2qk2r/pp1N1ppp/4p3/1Qbp4/8/7P/PPP2PP1/R1B2RK1 b kq - 0 14,"[None, 'c5f2', 'f1f2', 'd8d7', 'b5d7']"
r3k2r/pp1q1ppp/4p3/1Qbp4/8/7P/PPP2PP1/R1B2RK1 w kq - 0 15,"[None, 'b5c5', 'a8c8']"
6r1/p6k/1p2r3/3pR2P/6p1/6B1/PPP5/6K1 w - - 0 34,"[None, 'e5e6', 'g8f8']"
8/p3R3/1p6/3p2rk/5Bp1/8/PPP5/6K1 w - - 0 37,"[None, 'f4g5', 'h5g5', 'e7a7', 'g5f4']"
8/8/8/3R4/8/1P2k1p1/1PP3K1/8 w - - 1 44,"[None, 'g2g3', 'e3e2', 'd5d3', 'e2f1', 'd3e3', 'f1g1', 'e3e1']"
3R4/8/8/8/8/1P4p1/1PP1k1K1/8 w - - 3 45,"[None, 'g2g3', 'e2f1', 'd8e8', 'f1g1', 'e8e1']"
3R4/8/8/8/1P6/6p1/1PP3K1/4k3 w - - 1 46,"[None, 'g2f3', 'g3g2', 'f3g2', 'e1e2', 'd8d3', 'e2e1', 'b4b5', 'e1e2', 'b2b4', 'e2e1', 'g2f3', 'e1f1', 'd3d1']"
1Q1R4/8/8/8/8/4k1p1/1PP3K1/8 w - - 1 50,"[None, 'b8e5']"
1Q1R4/8/8/8/8/2P3p1/1P2k1K1/8 w - - 1 51,"[None, 'b8e5']"
1Q1R4/8/8/8/2P5/6p1/1P4K1/4k3 w - - 1 52,"[None, 'b8e5']"
r2q1rk1/1pp2ppp/p1npbn2/4p3/1PPbP3/P1N2N1P/1B1PBPP1/R2Q1RK1 w - - 6 11,"[None, 'f3d4']"
r2q1rk1/1pp2ppp/p1npbn2/3N4/1PPp4/P2B3P/1B1P1PP1/R2Q1RK1 w - - 2 14,"[None, 'd5f6']"
r3r1k1/1pp1qppp/p1n5/8/1Pp3b1/P2p2RP/1B1P1PP1/1R1Q2K1 w - - 0 21,"[None, 'd1g4', 'f7f6']"
r3r1k1/1pp1qppp/p7/4n3/1Pp3R1/P2p3P/1B1P1PP1/1R1Q2K1 w - - 1 22,"[None, 'g4e4', 'e7d7', 'e4e5', 'e8e5', 'b2e5', 'a8e8']"
r3r1k1/1pp1q1pp/p4p2/4n3/1Pp1R3/P2p3P/1B1P1PP1/1R1Q2K1 w - - 0 23,"[None, 'f2f4', 'e5f3', 'g2f3', 'e7d6']"
r3r1k1/1pp1q1pp/p4p2/8/1Pp1RP2/P2p1n1P/1B1P2P1/1R1Q2K1 w - - 1 24,"[None, 'g2f3', 'e7d7']"
r5k1/1pp2qpp/p4p2/8/1Pp1rP2/P2p1P1P/1B1P1K2/1R1Q4 w - - 0 26,"[None, 'f3e4', 'a6a5']"
4r1k1/2q3p1/p1p2p2/1p3P1p/1Pp1P3/P2p1Q1P/1B1P1K2/6R1 w - - 2 31,"[None, 'b2f6', 'c6c5', 'g1g7', 'c7g7', 'f6g7', 'g8g7']"
4r3/5kp1/pqp2B2/1p3P1p/1Pp1P3/P2p1Q1P/3P4/5KR1 w - - 3 33,"[None, 'f3h5', 'f7f6', 'e4e5', 'e8e5', 'h5g5', 'f6f7', 'g5g7', 'f7e8', 'g7e5', 'e8d7']"
4r3/5kp1/pqp2B2/1p3P1Q/1Pp1P3/P2p3P/3P4/5KR1 b - - 0 33,"[None, 'f7f6', 'e4e5', 'e8e5', 'h5g5', 'f6f7', 'g5g7', 'f7e8', 'g7e5']"
4Q3/6p1/pqp2k2/1p3P2/1Pp1P3/P2p3P/3P4/5KR1 b - - 0 34,"[None, 'b6g1', 'f1g1']"
8/6p1/p1p3Q1/1p2kP2/1PpqP3/P2p3P/3P4/5KR1 w - - 3 36,"[None, 'g6g7', 'e5e4', 'g1g4', 'e4f5', 'g7g6', 'f5e5', 'g4g5', 'e5f4', 'g6f5']"
8/6p1/p1p4Q/1p3P2/1PpqPk2/P2p3P/3P4/5K2 b - - 1 39,"[None, 'g7h6', 'f1g2', 'd4e4', 'g2f1']"
r1bq1rk1/p1p2ppp/2p5/3pB3/1b1P4/1P2PN2/P1Pn1PPP/R2Q1RK1 w - - 0 11,"[None, 'f3d2', 'b4c3']"
1r1qr1k1/p1p2ppp/8/3pBb2/3P1P2/PPb2R2/R1PN2PP/3Q2K1 w - - 1 17,"[None, 'f3c3', 'f7f6', 'e5c7', 'd8c8']"
4r1k1/p1r2ppp/8/3pBb2/3P1P2/PP3QPq/R1PN3P/6K1 w - - 0 21,"[None, 'e5c7', 'e8e1', 'g1f2', 'f5e4', 'f2e1', 'e4f3', 'd2f3', 'h3g2', 'f3d2', 'g2h1']"
6k1/p1B2ppp/8/3p1b2/3P1P2/PP3QPq/R1PN3P/4r1K1 w - - 1 22,"[None, 'g1f2', 'f5e4', 'f2e1']"
6k1/p1B2ppp/8/3p4/3PQP2/PP4Pq/R1P4P/4rNK1 b - - 0 23,"[None, 'e1f1']"
r2q1rk1/4nppp/p3p3/1p2P3/1bpP4/2N2b2/1P3PPP/R1BQ1RK1 w - - 0 15,"[None, 'd1f3', 'd8d4', 'c3b5']"
r3r1k1/4bpp1/p5p1/1p1pP1B1/2pP4/7P/1P3PP1/R2R2K1 w - - 1 22,"[None, 'g5e7']"
r2br3/5k2/p4pp1/Bp1p4/2pP4/7P/1P3PP1/R1R3K1 w - - 4 26,"[None, 'a5d8']"
r6r/5k2/1b3pp1/p2p4/1p1P2P1/2p1BP2/1P3K2/1R5R w - - 0 39,"[None, 'h1h8']"
r6r/5k2/1b3pp1/p2p4/3P2P1/2p1BP2/5K2/1R5R w - - 0 40,"[None, 'h1h8', 'a8h8', 'b1b6', 'a5a4']"
r6r/5k2/5pp1/3p4/3P2P1/p1p1BP2/5K2/1R5R w - - 0 42,"[None, 'h1h8']"
r7/5k2/5pp1/3p4/3P2P1/p1p1BP2/5K2/R6r w - - 0 43,"[None, 'a1h1', 'a8b8']"
rn1qk1nr/pp3ppp/2p5/3p3b/3PP3/2b2PN1/PP4PP/R1BQKB1R w KQkq - 0 9,"[None, 'b2c3', 'h5g6']"
rn2k2r/pp3ppp/2p2n2/7b/3Pp2q/2PB1PN1/P5PP/R1BQ1RK1 w kq - 0 12,"[None, 'g3f5', 'e8g8', 'f5h4', 'e4d3']"
rn2k2r/pp3ppp/2p5/7b/3Pn2q/2P2PN1/P5PP/R1BQ1RK1 w kq - 0 13,"[None, 'g3e4', 'e8g8']"
rn2k2r/pp3ppp/2p5/7b/3Pq3/2P2P2/P5PP/R1BQ1RK1 w kq - 0 14,"[None, 'f1e1', 'e4e1', 'd1e1', 'e8d8']"
rn2k2r/pp3ppp/2p5/8/3PP3/2P5/P5PP/R1Bb1RK1 w kq - 0 15,"[None, 'f1d1', 'f7f6']"
r2q1rk1/ppp1ppbp/2np1np1/6B1/2PPP2P/2NQ1b2/PP3PP1/R3KB1R w KQ - 0 9,"[None, 'g2f3', 'f6h5']"
r2q1rk1/ppp2pb1/3p1npB/8/1nPpP2P/2N2P2/PP1Q1P2/R3KB1R w KQ - 0 13,"[None, 'h6g7']"
r4r2/3n1pk1/2pp2p1/q6n/N3P3/1P2Q3/P3BP2/1K1R3R w - - 1 25,"[None, 'e2h5', 'a5e5', 'f2f4', 'e5e7']"
r4r2/3n1p2/2pp3k/q6p/N3P3/1P4Q1/P4P2/1K1R3R w - - 2 27,"[None, 'd1d6', 'f7f6', 'd6d7', 'a5g5', 'h1h5', 'h6g6', 'h5g5', 'f6g5']"
r4r2/3n1p2/2pp3k/q6p/N3PQ2/1P6/P4P2/1K1R3R b - - 3 27,"[None, 'a5g5', 'd1d6', 'f7f6', 'f4g5', 'h6g5', 'd6d7', 'a8a4', 'b3a4']"
r4r2/3n1pk1/2pp4/q6p/N3PQ2/1P6/P4P2/1K1R3R w - - 4 28,"[None, 'h1g1', 'g7h7', 'd1d6', 'a5e1', 'g1e1', 'd7e5', 'd6h6', 'h7g8', 'f4e5', 'f7f6', 'e1g1', 'g8f7', 'h6f6']"
3r2rk/5p2/2p2n2/q6p/N3P3/1P3Q2/P4P2/1K1R3R w - - 7 32,"[None, 'f3f6', 'h8h7', 'f6f7', 'h7h6', 'd1d8', 'a5e1', 'h1e1', 'g8d8']"
3r3k/5pr1/2p2Q2/q6p/N3P3/1P6/P4P2/1K1R3R w - - 1 33,"[None, 'd1d8', 'h8h7']"
3q3k/5pr1/2p5/7p/N3P3/1P6/P4P2/1K1R3R w - - 0 34,"[None, 'h1h5', 'g7h7', 'd1d8', 'h8g7', 'h5h7', 'g7h7']"
rn1qkb1r/ppp1pppp/5n2/3p4/3P4/2NbP3/PPP2PPP/R1BQK1NR w KQkq - 0 5,"[None, 'c2d3', 'e7e6']"
1r1qkb1r/pppnpppp/8/1Q1n4/3P4/4P3/PPP2PPP/R1B1K1NR w KQk - 0 8,"[None, 'b5d5', 'e7e6']"
1r3rk1/pp3ppp/q1p1p3/8/1b1P1N2/1Pn1PQ2/PBP2PPP/1K1R3R w - - 5 18,"[None, 'b2c3']"
1r4k1/pp3pp1/2p4p/7P/3rQ1P1/qPbN4/P1P2P2/1K1R3R w - - 0 25,"[None, 'e4d4']"
1r4k1/pp3pp1/7p/2p1Q2P/3r2P1/qPbN4/P1P2P2/1K1R3R w - - 0 26,"[None, 'e5b8', 'g8h7', 'g4g5', 'h6g5', 'h5h6', 'g7g6']"
2r2rk1/p3bpp1/2p1pn1p/3p4/B2qbQ1B/6N1/PPP2PPP/R4RK1 w - - 0 17,"[None, 'g3e4', 'f6e4', 'h4e7', 'f8e8']"
2r2rk1/p3bpp1/2p1pn1p/3p4/q3bQ1B/2P3N1/PP3PPP/R4RK1 w - - 0 18,"[None, 'h4f6']"
2rqk2r/pp2bppp/2n1pn2/1B1pN2b/3P4/2NQ3P/PPP2PP1/R1B2RK1 w k - 4 11,"[None, 'b5c6', 'b7c6', 'd3a6', 'e8g8', 'e5c6', 'd8d6', 'c6e7']"
2rq1rk1/pp2bppp/2n1pn2/1B1pN1Bb/3P4/2NQ3P/PPP2PP1/R4RK1 w - - 6 12,"[None, 'b5c6']"
2rq1rk1/pp2bppp/4pn2/1B1pn1Bb/P2P4/2NQ3P/1PP2PP1/R4RK1 w - - 0 13,"[None, 'd4e5', 'f6d7', 'g5e7', 'd8e7']"
2rq1rk1/pp1nbppp/4p1b1/1B1pP1B1/P7/2N1Q2P/1PP2PP1/R4RK1 w - - 3 15,"[None, 'g5e7', 'd8e7', 'b5d7']"
r1bqk1nr/ppppppbp/6p1/8/2P1P3/2N2n2/PP3PPP/R1BQKB1R w KQkq - 0 6,"[None, 'd1f3', 'd7d6']"
r1bqk1nr/pppppp1p/6p1/8/2P1P3/2b2Q2/PP3PPP/R1B1KB1R w KQkq - 0 7,"[None, 'f3c3', 'f7f6']"
r2q1rk1/ppp1pp1p/3p1np1/8/2P1P1b1/2P1BQ2/P3BPPP/R4RK1 w - - 6 11,"[None, 'f3g4']"
r2q1rk1/pp2pp1p/3p1np1/2p5/2bBPQ2/2P5/P4PPP/R3R1K1 w - - 0 14,"[None, 'd4f6']"
rnbqkb1r/ppp2ppp/4p3/8/3P4/2n2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6,"[None, 'b2c3', 'c7c5']"
rnb2rk1/p4ppp/1p1bpq2/2p5/3P4/2PBPN2/P4PPP/R1BQR1K1 w - - 0 11,"[None, 'd3e4', 'b8d7', 'e4a8', 'c5d4', 'e3d4', 'f6d8']"
rnb2rk1/p4ppp/1p1bp3/8/3qP3/3B1N2/P4PPP/R1BQR1K1 w - - 0 13,"[None, 'f3d4', 'd6e5']"
rnb2rk1/p4ppp/1p1Pp3/8/8/3B1N2/q4PPP/2BQR1K1 w - - 0 15,"[None, 'd3e4', 'b8d7', 'e4a8', 'd7c5']"
rnb2rk1/p4ppp/1p1Pp3/3q2N1/8/3B4/5PPP/2BQR1K1 w - - 2 16,"[None, 'd3h7', 'g8h8', 'd1h5', 'd5d1', 'e1d1', 'g7g6', 'h5g6', 'f7g6', 'c1b2', 'e6e5', 'b2e5', 'f8f6', 'e5f6']"
rnb2r1k/p4ppB/1p1Pp3/3q2N1/8/8/5PPP/2BQR1K1 w - - 1 17,"[None, 'd1h5', 'd5d1', 'e1d1', 'g7g6', 'h5g6', 'f7g6', 'c1b2', 'e6e5', 'b2e5', 'f8f6', 'e5f6']"
rnb2r1k/p4ppB/1p1Pp3/6qQ/8/8/5PPP/2B1R1K1 w - - 0 18,"[None, 'c1g5', 'f8d8']"
rnb2r1k/p4p1B/1p1Pp1p1/6BQ/8/8/5PPP/4R1K1 w - - 0 19,"[None, 'g5f6']"
rnb2r2/p4pk1/1p1Pp1B1/6BQ/8/8/5PPP/4R1K1 w - - 1 20,"[None, 'h5h7']"
rnbqk2r/ppp2ppp/4pn2/3p4/2PP4/P1b2N2/1P2PPPP/R1BQKB1R w KQkq - 0 6,"[None, 'b2c3', 'c7c5', 'c4d5', 'e6d5', 'd4c5', 'e8g8']"
r3k2r/pppb1ppp/3n1q2/3p4/P1nP4/B1P1PN2/2Q1BPPP/R4RK1 w kq - 5 14,"[None, 'a3d6']"
r3k2r/1ppb1ppp/3n1q2/p2p4/PBnP4/2P1PN2/2Q1BPPP/R4RK1 w kq - 0 15,"[None, 'b4d6']"
r3r1k1/2p2qpp/3n1p2/p1p5/P2P4/4PQ2/4BPPP/2R2RK1 w - - 0 24,"[None, 'd4c5', 'd6e4', 'e2c4', 'a8b8', 'c4f7', 'g8f7']"
r3r2k/2p2qpp/3n1p2/p1P5/P7/4PQ2/4BPPP/2R2RK1 w - - 1 25,"[None, 'c5d6']"
r3r2k/2p2qpp/3P1p2/p7/P7/4PQ2/4BPPP/2R2RK1 b - - 0 25,"[None, 'c7d6', 'e2c4', 'f7c4', 'c1c4']"
r3r2k/3q2pp/3p1p2/pB6/P7/4PQ2/5PPP/2R2RK1 b - - 3 27,"[None, 'd7b5', 'a4b5']"
3rq2k/6pp/3p1p2/p2Q4/P7/4P3/5PPP/2RR2K1 b - - 3 30,"[None, 'e8a4', 'c1c7', 'a4d1', 'd5d1']"
4r2k/1Q1R2pp/5p2/p7/8/q3P3/5PPP/2R3K1 b - - 2 33,"[None, 'a3c1', 'd7d1', 'c1d1']"
r2q1rk1/pppn1ppb/2n1p2p/3p3P/3P2P1/2P1PPb1/PP2Q1B1/R1B1KN1R w KQ - 0 14,"[None, 'f1g3', 'f7f5', 'g4f5', 'e6f5']"
2r1r1k1/2pnqpp1/1p5p/pP2Pp1P/P1pP2P1/2PbB1N1/5Q2/R3K2R w KQ - 0 27,"[None, 'g4f5', 'd7e5', 'd4e5']"
2r1r1k1/5pp1/1p5p/pPn1PPqP/P1pB4/2Pb2N1/3Q4/R3K1R1 w Q - 3 31,"[None, 'd2g5']"
2r1r1k1/5pp1/1p6/pP2PPpP/P1pn4/2Pb4/R3N3/4K1R1 w - - 0 34,"[None, 'c3d4', 'f7f6']"
r2qk1nr/pp1nppb1/2pp2p1/7p/1NPPPB2/5b2/PP2BPPP/R2Q1RK1 w kq - 0 12,"[None, 'e2f3', 'a7a5']"
r2q1rk1/pp1n1p2/2p2np1/4N3/2P1P2p/7B/P4PPP/1R1Q1RK1 b - - 0 20,"[None, 'd7e5', 'b1b7', 'f6e4', 'd1d8']"
r2q1rk1/pp3p2/2p2np1/4n3/2P1P2p/7B/P4PPP/1R1Q1RK1 w - - 0 21,"[None, 'd1d8']"
r4r2/p4pk1/2p2np1/Qpq5/2P1P1np/7B/P4PPP/3RR1K1 w - - 2 26,"[None, 'h3g4']"
r7/p4rk1/2p3P1/1p6/5qn1/7p/P4PPP/4RRK1 b - - 0 32,"[None, 'f4h2']"
r2q1rk1/ppp2ppp/2nbpn2/1B1pBb2/3P4/4PN2/PPP1QPPP/RN2K2R w KQ - 4 8,"[None, 'b5c6']"
r2q1rk1/ppp2ppp/2nbp3/1B1pBb2/2PPn3/4PN2/PP2QPPP/RN2K2R w KQ - 1 9,"[None, 'b5c6', 'd6b4']"
r2q1rk1/ppp2ppp/2n1p3/1BPpbb2/3Pn3/4PN2/PP2QPPP/RN2K2R w KQ - 0 10,"[None, 'b5c6', 'e5d4', 'e3d4']"
r2q1rk1/ppp2ppp/4p3/1BPpnb2/3Pn3/4P3/PP2QPPP/RN2K2R w KQ - 0 11,"[None, 'd4e5']"
r4rk1/pp3ppp/1qp1p3/2PpPb2/4n3/3BP3/PP2QPPP/RN2K2R w KQ - 2 13,"[None, 'c5b6', 'a7b6']"
r4rk1/pp3ppp/2p1p3/2qpPb2/4n3/2NBP3/PP2QPPP/R3K2R w KQ - 0 14,"[None, 'd3e4']"
r4rk1/pp3ppp/2p1p3/2qpPb2/8/2nBP3/PP2QPPP/R4RK1 w - - 0 15,"[None, 'b2c3', 'c5c3', 'd3f5']"
r4rk1/pp3ppp/2p1p3/3pPb2/8/2qBP3/P3QPPP/R4RK1 w - - 0 16,"[None, 'd3f5']"
1r3rk1/pR3ppp/2p5/3p1p2/8/4P3/q4PPP/5RK1 w - - 1 21,"[None, 'b7b8']"
2r2rk1/p1R2ppp/2p5/3p1p2/8/4P3/q4PPP/5RK1 w - - 3 22,"[None, 'c7c8']"
r5k1/ppqn2p1/2nbp1pp/3p4/N2P2P1/P1Q2r1P/1PPB1P2/2KR3R w - - 0 18,"[None, 'c3f3', 'c6d4', 'f3d3', 'd4c6', 'd3g6', 'd7f8']"
r5k1/ppq3p1/3b1npp/3p4/N2p2P1/P2Q3P/1PP2P2/2KR3R w - - 0 22,"[None, 'd3d4', 'a8c8', 'd4c3', 'f6e4', 'c3c7']"
3r2k1/pp4p1/2qb1n1p/3p2p1/3Q2P1/P1N4P/1PP2P2/1K1RR3 w - - 12 30,"[None, 'c3d5', 'f6d5', 'd4d5', 'g8h8', 'd5c6']"
3r2k1/pp4p1/2qb3p/3n2p1/3Q2P1/P6P/1PP2P2/1K1RR3 w - - 0 31,"[None, 'd4d5', 'c6d5', 'd1d5', 'g8f7']"
3r2k1/pp4p1/3b3p/3q2p1/6P1/P6P/1PP2P2/1K1RR3 w - - 0 32,"[None, 'd1d5', 'g8h7']"
2R5/p1b3p1/6kp/6p1/6P1/P6P/1PK5/8 w - - 0 45,"[None, 'c8c7', 'g6f6', 'c7a7', 'g7g6']"
rnbqkb1r/p4ppp/2p1p3/1p2P3/3P4/1Bn2N2/PP3PPP/R1BQK2R w KQkq - 0 9,"[None, 'b2c3', 'f8e7']"
rnbqk2r/5ppp/2p1p3/p3P3/Pb1P4/1BQ2N2/5PPP/R1B1K2R w KQkq - 1 13,"[None, 'c3b4']"
r1bqr1k1/1ppn1pb1/p2p1npp/3Pp1B1/2P1P2P/2N2N2/PP1Q1PP1/2KR1B1R w - - 0 11,"[None, 'g5h6', 'd7c5', 'h6g7']"
r1bqr1k1/1ppn1p2/p2p1npb/3Pp3/2P1P2P/2N2N2/PP1Q1PP1/2KR1B1R w - - 0 12,"[None, 'd2h6', 'f6g4', 'h6d2', 'd8f6']"
6r1/1pp1kp2/p2p1n1q/2nP2N1/2P1Pp2/2N1Q3/PP4P1/2K5 w - - 0 26,"[None, 'e3c5', 'h6h1']"
6r1/1pp1kp2/p2p1n2/2nP2q1/2P1PQ2/2N5/PP4P1/2K5 w - - 0 27,"[None, 'f4g5']"
r2qkb1r/ppp2ppp/2n5/3p4/3Pn3/1P2Pb2/PBP1B1PP/RN1QK2R w KQkq - 0 9,"[None, 'e2f3', 'f8d6']"
r3kb1r/ppp2ppp/2n5/3p4/3P3q/1P2PBn1/PBP3PP/RN1Q1K1R w kq - 3 11,"[None, 'h2g3']"
r3kb1r/ppp2ppp/2n5/3p4/3P3q/1P2PB2/PBP3PP/RN1Q2Kn w kq - 0 12,"[None, 'g1h1', 'f8d6']"
rn1qk2r/ppp1bppp/4pnb1/3p2B1/3P4/3BPN2/PPP2PP1/RN1QK2R w KQkq - 2 9,"[None, 'd3g6']"
r2q1rk1/pp2b1pp/2n1pnp1/2pp2B1/3P4/2P1PN2/PPQN1PP1/R3K2R w KQ - 2 13,"[None, 'd4c5', 'f6g4', 'g5e7']"
2rq1rk1/pp2b1pp/2n1pnp1/2pp2B1/3P4/2P1PN2/PPQN1PP1/2KR3R w - - 4 14,"[None, 'd4c5', 'f6d7', 'g5e7']"
2rq1rk1/pp2b1pp/2n1pnp1/3p2B1/3P3N/2P5/PPQN1PP1/2KR3R b - - 0 15,"[None, 'c6d4', 'c2d3', 'c8c3', 'd3c3']"
2r5/pp6/3kpn2/3p4/PPnP2P1/K1P2P2/3N4/4R3 w - - 1 31,"[None, 'd2c4']"
8/1p2k1P1/4pnR1/1P1p4/1K1P1r2/8/8/8 w - - 5 42,"[None, 'g6f6']"
8/1p2k1P1/4pr2/1P1p4/1K1P4/8/8/8 w - - 0 43,"[None, 'g7g8q', 'f6f8']"
r2qkbnr/ppp1pppp/8/3P4/2p1P1b1/2N2n2/PP3PPP/R1BQKB1R w KQkq - 0 7,"[None, 'g2f3', 'g4d7', 'f1c4', 'e7e5', 'd5e6', 'd7e6']"
r3k2r/3qpp1p/2p2bpB/p2P3n/1p2P3/1B3P2/PP1Q1P1P/1K1R2R1 w kq - 0 19,"[None, 'b3a4', 'f6g7', 'a4c6', 'd7c6', 'd5c6', 'e8g8']"
4k2r/3qpp1p/r1p2bpB/p2P3n/Bp2P3/5P2/PP1Q1P1P/1K1R2R1 w k - 2 20,"[None, 'd5c6', 'f6d4', 'd2d4', 'h5f6', 'c6c7', 'e7e6', 'a4d7', 'e8e7', 'd4c5', 'a6d6', 'c5d6']"
4k2r/3qpp1p/2r2bpB/p2P3n/1p2P3/5P2/PP1Q1P1P/1K1R2R1 w k - 0 21,"[None, 'd5c6', 'd7c7']"
4k2r/4pp1p/2P2bpB/p6n/1p2P3/5P2/PP1q1P1P/1K1R2R1 w k - 0 22,"[None, 'd1d2', 'f6g7', 'h6g7', 'h5g7']"
rn1qkb1r/pp3ppp/4pn2/2pp1b2/3P1B2/4PN2/PPPN1PPP/R2QKB1R w KQkq - 0 6,"[None, 'f4b8']"
rn1qkb1r/pp3ppp/4pn2/3p1b2/3p1B2/2P1PN2/PP1N1PPP/R2QKB1R w KQkq - 0 7,"[None, 'f3d4', 'b8d7', 'd4f5']"
r2qr1k1/pp3pp1/3b1np1/3pn3/7P/2P1BN2/PPQN1PP1/1K1R3R w - - 0 16,"[None, 'f3e5']"
r2qr1k1/pp3pp1/3b1np1/3p2B1/7P/2P2n2/PPQN1PP1/1K1R3R w - - 0 17,"[None, 'd2f3', 'd6e7']"
r3r1k1/pp2b1p1/1q3p2/3p3R/4n3/2P1BN2/PPQ2PP1/1K5R w - - 0 22,"[None, 'e3b6', 'g7g6']"
3rr1k1/1p2b1p1/1p3p2/3p3R/4n3/1QP2N2/PP3PP1/1K5R w - - 2 24,"[None, 'h5d5', 'e4c3', 'b2c3', 'g7g6', 'd5h5', 'd8d5']"
3r3R/1p2bkp1/1p3p2/3p4/4n3/1QP2N2/PP3PP1/1K6 w - - 2 27,"[None, 'h8d8', 'e4c3', 'b3c3']"
3bk3/1p4p1/1p3p2/3Q4/4n3/2P2N2/PP3PP1/1K6 w - - 1 29,"[None, 'd5e4', 'd8e7']"
3bk3/6Q1/1p2Np2/8/2K5/2P5/PP3PP1/8 w - - 11 37,"[None, 'c4d5', 'd8e7', 'd5c6', 'b6b5', 'g7g6']"
